sp,sp_beast,mean disturbance,mean elev,# islands,# unique localities,endemic,radiation,genus-radiation,category
Colobopsis.bryani,Colobopsis.bryani_clade_EGP0136A07_Fiji,4.257142857,340.8857143,5,4,1,1,1,endemic
Colobopsis.cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,3.9,395.1,5,45,1,1,1,endemic
Colobopsis.dentata_c1,Colobopsis.dentata_c1_EGP0070H11_Fiji,3.25,285.8,4,5,1,1,1,endemic
Colobopsis.dentata_c2,Colobopsis.dentata_c2_EGP0138G07_Fiji,3.9,259.8,3,6,1,1,1,endemic
Colobopsis.dentata_c3,Colobopsis.dentata_c3_EGP0071A10_Fiji,4.1,149,2,5,1,1,1,endemic
Colobopsis.dentata_c4,Colobopsis.dentata_c4_EGP0071C08_Fiji,4,76,1,3,1,1,1,endemic
Colobopsis.laminata_c1,Colobopsis.laminata_c1_EGP0074D06_Fiji,4.388888889,360.3333333,4,8,1,1,1,endemic
Colobopsis.laminata_c2,Colobopsis.laminata_c2_EGP0074C07_Fiji,4.3125,312.5,1,3,1,1,1,endemic
Colobopsis.laminata_c3,Colobopsis.laminata_c3_EGP0073G08_Fiji,3.9,469.9767442,4,16,1,1,1,endemic
Colobopsis.polynesica_c1,Colobopsis.polynesica_c1_EGP0071G01_Fiji,4.352941176,334.2941176,4,9,1,1,1,endemic
Colobopsis.polynesica_c2,Colobopsis.polynesica_c2_EGP0072C08_Fiji,4.111111111,141,4,10,1,1,1,endemic
Colobopsis.polynesica_c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,4.275862069,167.6896552,7,15,1,1,1,endemic
Colobopsis.polynesica_c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,4.333333333,435.9298246,6,20,1,1,1,endemic
Colobopsis.polynesica_c5,Colobopsis.polynesica_c5_EGP0071F07_Fiji,4.111111111,459.8333333,2,3,1,1,1,endemic
Colobopsis.schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,4.4375,523.34375,6,61,1,1,1,endemic
Colobopsis.vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,4.160588235,540.0294118,6,33,1,1,1,endemic
Eurhopalothrix.sp,Eurhopalothrix.fj_sp_EGP0032B04_Fiji,4.333333333,461.1666667,6,14,1,2,2,endemic
Gnamptogenys.aterrima,Gnamptogenys.aterrima_EGP0070D10_Fiji,4.428571429,412.2380952,9,62,1,2,2,endemic
Hypoponera.eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,4.617977528,526.988764,9,87,1,2,1,endemic
Hypoponera.fj16,Hypoponera.fj16_EGP0095B04_Fiji,4.384615385,483.7692308,7,13,1,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,4.583333333,480.7833333,8,59,1,1,1,endemic
Hypoponera.turaga,Hypoponera.turaga_EGP0094H10_Fiji,4.666666667,690.8333333,3,6,1,1,1,endemic
Leptogenys.fje02,Leptogenys.FJE02_EGP0095E10_Fiji,4.105263158,249.4210526,6,14,1,1,1,endemic
Leptogenys.fje05,Leptogenys.FJE05_EGP0096A07_Fiji,4.2,587,1,4,1,1,1,endemic
Leptogenys.fjm01,Leptogenys.fjm01_EGP0103F01_Fiji,4.666666667,665.4444444,3,8,1,1,1,endemic
Leptogenys.fjm03,Leptogenys.fjm03_EGP0103G01_Fiji,5,441.5,1,2,1,1,1,endemic
Leptogenys.fjn01,Leptogenys.fjn01_EGP0095F08_Fiji,4.545454545,578.8181818,2,5,1,1,1,endemic
Leptogenys.fjn02,Leptogenys.fjn02_EGP0095E11_Fiji,4.22,323.625,2,4,1,1,1,endemic
Leptogenys.fugax,Leptogenys.fugax_EGP0095E02_Fiji,4.714285714,583.4285714,3,7,1,1,1,endemic
Leptogenys.letilae,Leptogenys.letilae_EGP0095D08_Fiji,4.625,781,2,8,1,1,1,endemic
Lordomyrma.desupra,Lordomyrma.desupra_EGP0033B12_Fiji,4.428571429,620.7142857,1,7,1,1,1,endemic
Lordomyrma.polita,Lordomyrma.polita_EGP0033D09_Fiji,4.666666667,626,3,6,1,1,1,endemic
Lordomyrma.rugosa,Lordomyrma.rugosa_EGP0035B05_Fiji,4,910,1,3,1,1,1,endemic
Lordomyrma.striatella,Lordomyrma.striatella_EGP0032F01_Fiji,4.625,448.25,5,8,1,1,1,endemic
Lordomyrma.tortuosa,Lordomyrma.tortuosa_EGP0032G03_Fiji,4.545454545,453.6666667,8,33,1,1,1,endemic
Metapone.manni,Metapone.manni_EGP0035A07_Fiji,4.555555556,595.3333333,5,8,1,2,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,4.157142857,385.8428571,6,67,1,2,2,endemic
Ochetellus.sororis,Ochetellus.sororis_EGP0068C03_Fiji,4.333333333,616.3333333,3,9,1,2,2,endemic
Odontomachus.angulatus,Odontomachus.angulatus_EGP0096C03_Fiji,3.431428571,532.3214286,4,28,1,2,2,endemic
Ooceraea.crypta,Ooceraea.crypta_EGP0099F12_Fiji,4.071428571,439.5714286,1,7,1,1,1,endemic
Ooceraea.fj06,Ooceraea.fj06_EGP0100B10_Fiji,4.015789474,339.4736842,9,37,1,1,1,endemic
Ooceraea.fuscior,Ooceraea.fuscior_EGP0099G11_Fiji,4.046923077,350,3,13,1,1,1,endemic
Paraparatrechina.oceanica,Paraparatrechina.oceanica_EGP0138A07_Fiji,4.279411765,362.8088235,10,67,1,2,2,endemic
Parasyscia.lindrothi,Parasyscia.lindrothi_EGP0100F08_Fiji,4.666666667,386.6666667,2,3,1,1,1,endemic
Pheidole.bula,Pheidole.bula_EGP0016A02_Fiji,5,333.5,1,5,1,1,1,endemic
Pheidole.caldwelli,Pheidole.caldwelli_EGP0016A04_Fiji,5,333.5,2,5,1,1,1,endemic
Pheidole.colaensis,Pheidole.colaensis_EGP0016A08_Fiji,4.285714286,885.2857143,1,16,1,1,1,endemic
Pheidole.FJ05,Pheidole.fj05_EGP0025G05_Fiji,5,734,1,1,1,1,1,endemic
Pheidole.furcata,Pheidole.furcata_EGP0016B04_Fiji,5,670,1,2,1,1,1,endemic
Pheidole.kava,Pheidole.kava_EGP0027D12_Fiji,4.615384615,527.1538462,3,13,1,1,1,endemic
Pheidole.knowlesi,Pheidole.knowA_EGP0029H06_Fiji,4.614285714,582.6,7,70,1,1,1,endemic
Pheidole.onifera,Pheidole.onifera_EGP0016H09_Fiji,4.333333333,356.3333333,6,17,1,2,2,endemic
Pheidole.roosevelti,Pheidole.roosevelti_EGP0016D06_Fiji,4.785714286,529.9285714,3,26,1,1,1,endemic
Pheidole.simplispinosa,Pheidole.simplinosa_EGP0016E11_Fiji,4.473684211,537.7894737,3,17,1,1,1,endemic
Pheidole.ululevu,Pheidole.ululevu_EGP0025D07_Fiji,4.493670886,366.1772152,10,78,1,1,1,endemic
Pheidole.uncagena,Pheidole.uncagena_EGP0022C09_Fiji,4.6,690.2,3,10,1,1,1,endemic
