sp,sp_beast2,best_model,status,status2,t_generations,t_years,rate,Na,Nc,log_nc_na,mean disturbance,mean disturbance2,mean elev,population decline,# islands,# unique localities
Colobopsis.bryani,Colobopsis.bryani_clade_EGP0136A07_Fiji,exponential,endemic,1,224112.52,72.8072498,0.000324869,263623.8112,2636.238112,-2,4.257142857,1.742857143,340.8857143,1,5,4
Colobopsis.cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,instantaneous,endemic,1,234063.1113,76.0398902,0.000324869,86361.69701,109006.9114,0.101132867,3.9,2.071428571,395.1,0,5,45
Colobopsis.dentata_c1,Colobopsis.dentata_c1_EGP0070H11_Fiji,exponential,endemic,1,469179.9861,152.4221157,0.000324869,10834.0009,126585.7839,1.067596068,3.25,2.75,182.19,0,4,5
Colobopsis.dentata_c4,Colobopsis.dentata_c4_EGP0071C08_Fiji,exponential,endemic,1,737081.2928,239.4549926,0.000324869,28859.32489,77065.94118,0.426576319,4,2,76,0,1,3
Colobopsis.laminata_c3,Colobopsis.laminata_c3_EGP0073G08_Fiji,instantaneous,endemic,1,396446.1865,128.7931461,0.000324869,115210.5815,163483.8151,0.151982395,3.9,2.114754098,429.54,0,4,16
Colobopsis.polynesica_c1,Colobopsis.polynesica_c1_EGP0071G01_Fiji,exponential,endemic,1,15109.73886,4.90868842,0.000324869,85894.59468,1575.040565,-1.736674091,4.352941176,1.647058824,334.2941176,1,4,9
Colobopsis.polynesica_c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,exponential,endemic,1,186616.0237,60.62579393,0.000324869,223337.1574,2233.371574,-2,4.275862069,1.724137931,167.6896552,1,7,15
Colobopsis.polynesica_c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,exponential,endemic,1,519331.3995,168.7147641,0.000324869,143452.898,22093.7808,-0.812439285,4.333333333,1.666666667,435.9298246,1,6,20
Colobopsis.schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,instantaneous,endemic,1,4998429.968,1623.835827,0.000324869,188132.5304,19560.27616,-0.983088915,4.4375,1.5625,523.34375,1,6,61
Colobopsis.vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,exponential,endemic,1,442708.1857,143.8222437,0.000324869,60658.76748,60574.35275,-0.000604799,4.380588235,1.611111111,526.694118,1,6,33
Gnamptogenys.aterrima,Gnamptogenys.aterrima_EGP0070D10_Fiji,instantaneous,endemic,1,257890.3391,83.78062207,0.000324869,123015.5943,26134.53027,-0.67274547,4.428571429,1.571428571,412.2380952,1,9,62
Hypoponera.eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,instantaneous,endemic,1,230927.5416,75.02124026,0.000324869,80617.74807,40893.63697,-0.294774925,4.617977528,1.382022472,526.988764,1,9,87
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,exponential,endemic,1,1575167.423,511.7233435,0.000324869,140192.9477,75155.09849,-0.270767719,4.583333333,1.416666667,480.7833333,1,8,59
Leptogenys.fje02,Leptogenys.FJE02_EGP0095E10_Fiji,exponential,endemic,1,672476.6206,218.4669259,0.000324869,153189.671,22119.74959,-0.840449277,4.105263158,1.894736842,249.4210526,1,6,14
Leptogenys.fje05,Leptogenys.FJE05_EGP0096A07_Fiji,instantaneous,endemic,1,2259095.5,733.9104946,0.000324869,67297.08661,48534.65886,-0.141944282,4.2,1.8,587,1,1,4
Leptogenys.fjn01,Leptogenys.fjn01_EGP0095F08_Fiji,instantaneous,endemic,1,72349.89943,23.50425224,0.000324869,97695.14556,4904.903195,-1.299242544,4.545454545,1.454545455,578.8181818,1,2,5
Leptogenys.fjn02,Leptogenys.fjn02_EGP0095E11_Fiji,exponential,endemic,1,247279.2206,80.33339675,0.000324869,124695.7066,2531.322844,-1.692503962,4.22,1.777777778,415.4444444,1,2,4
Leptogenys.letilae,Leptogenys.letilae_EGP0095D08_Fiji,instantaneous,endemic,1,62965.41599,20.45552284,0.000324869,68534.92788,47001.25354,-0.163802519,4.625,1.375,781,1,2,8
Lordomyrma.striatella,Lordomyrma.striatella_EGP0032F01_Fiji,instantaneous,endemic,1,1376411.877,447.1537929,0.000324869,402786.4957,53127.53878,-0.879755204,4.625,1.375,448.25,1,5,8
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,exponential,endemic,1,650043.4247,211.179072,0.000324869,50283.43548,120696.4408,0.380269521,4.157142857,1.842857143,385.8428571,0,6,67
Odontomachus.angulatus,Odontomachus.angulatus_EGP0096C03_Fiji,exponential,endemic,1,832898.6265,270.5830908,0.000324869,81639.40647,121824.3853,0.17383439,3.861428571,2.138888889,441.8,0,4,28
Ooceraea.crypta,Ooceraea.crypta_EGP0099F12_Fiji,instantaneous,endemic,1,635906.9873,206.5865793,0.000324869,28674.40384,187275.3989,0.814986333,4.11428571,1.888888889,525.222,0,1,7
Ooceraea.fj06,Ooceraea.fj06_EGP0100B10_Fiji,instantaneous,endemic,1,989323.625,321.4007513,0.000324869,88421.81527,87455.58082,-0.004771898,4.052657,1.947368421,339.4736842,1,9,37
Ooceraea.fuscior,Ooceraea.fuscior_EGP0099G11_Fiji,instantaneous,endemic,1,1110560.455,360.7868604,0.000324869,16321.35864,93586.2631,0.758455798,4.076923077,1.923076923,350,0,3,13
Paraparatrechina.oceanica,Paraparatrechina.oceanica_EGP0138A07_Fiji,exponential,endemic,1,601795.3037,195.5047447,0.000324869,146994.6444,31725.68743,-0.665890471,4.279411765,1.720588235,362.8088235,1,10,67
pheidole_colaensis,Pheidole.colaensis_EGP0016A08_Fiji,instantaneous,endemic,1,300460.6896,97.61041678,0.000324869,171647.7847,22314.21201,-0.886056648,4.285714286,1,885.2857143,1,1,5
Pheidole.bula,Pheidole.bula_EGP0016A02_Fiji,instantaneous,endemic,1,62677.52573,20.36199616,0.000324869,2464.8663,1313.034278,-0.273517303,5,1.5,333.5,1,2,5
Pheidole.kava,Pheidole.kava_EGP0027D12_Fiji,instantaneous,endemic,1,8102076.365,2632.114876,0.000324869,131375.1519,36808.04835,-0.55257044,4.615384615,1.384615385,527.1538462,1,3,13
Pheidole.onifera,Pheidole.onifera_EGP0016H09_Fiji,exponential,endemic,1,6235230.077,2025.63406,0.000324869,104397.0738,38543.40596,-0.432738237,4.333333333,1.666666667,356.3333333,1,6,17
Pheidole.roosevelti,Pheidole.roosevelti_EGP0016D06_Fiji,instantaneous,endemic,1,767941.4992,249.4805224,0.000324869,175620.2006,19269.28008,-0.95970898,4.785714286,1.214285714,529.9285714,1,3,26
Pheidole.simplispinosa,Pheidole.simplinosa_EGP0016E11_Fiji,exponential,endemic,1,144306.2459,46.88065126,0.000324869,78482.39091,17817.67106,-0.643921288,4.473684211,1.526315789,537.7894737,1,3,17
Pheidole.ululevu,Pheidole.ululevu_EGP0025D07_Fiji,instantaneous,endemic,1,817196.3626,265.4819093,0.000324869,35021.43041,61922.45172,0.247514263,4.493670886,1.506329114,366.1772152,0,10,78
Pheidole.uncagena,Pheidole.uncagena_EGP0022C09_Fiji,instantaneous,endemic,1,12847.18251,4.173653602,0.000324869,76769.74916,2095.814152,-1.563837353,4.6,1.4,690.2,1,3,10
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,exponential,endemic,1,393306.5489,127.7731746,0.000324869,143878.7692,28224.58513,-0.707369147,4.4,1.6,430.8,1,8,34
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,instantaneous,endemic,1,853437.3142,277.2554774,0.000324869,69995.60757,145948.4195,0.319128609,4.47761194,1.52238806,449.0447761,0,8,65
Philidris.nagasau,Philidris.nagasau_EGP0068D11_Fiji,exponential,endemic,1,492327.8557,159.942145,0.000324869,119759.3069,44455.11323,-0.430387553,4.285714286,1.714285714,498.5714286,1,3,21
Pristomyrmex.mandibularis,Pristomyrmex.mandibularis_EGP0025G10_Fiji,exponential,endemic,1,3662130.408,1189.71329,0.000324869,183653.7885,31643.26223,-0.763718641,4.49122807,1.50877193,462.7719298,1,8,57
Pristomyrmex.tsujii,Pristomyrmex.tsujii_EGP0029E11_Fiji,exponential,endemic,1,2309111.872,750.1592721,0.000324869,127610.9853,62524.43108,-0.309838313,4.545454545,1.454545455,499.3863636,1,8,44
Proceratium.relictum,Proceratium.relictum_EGP0091C09_Fiji,exponential,endemic,1,263133.5781,85.48398881,0.000324869,67921.53678,46186.64501,-0.167491087,4.307692308,1.692307692,567.2307692,1,2,13
Strumigenys.basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,exponential,endemic,1,7044857.644,2288.657101,0.000324869,130722.7902,27159.85451,-0.68242387,4.516129032,1.483870968,417.7419355,1,7,31
Strumigenys.chernovi,Strumigenys.chernovi_EGP0037D06_Fiji,exponential,endemic,1,1372429.969,445.8601937,0.000324869,173477.0672,25812.6765,-0.827409033,4.416666667,1.583333333,354.9583333,1,5,23
