sp,sp_beast2,pop,Disturbance,Elevation,Latitude,Longitude,model,status1,status2,T_real,na,nc
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,anochetus_graeffei_kr,4.5,326.6666667,-17.2905,179.404,instantaneous,widespread Pacific native,2,214939.2616,943.2484731,74483.42703
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,anochetus_graeffei_kv,4,130,-19.0775,178.121,instantaneous,widespread Pacific native,2,342105.0334,2510.606164,127360.038
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,anochetus_graeffei_ta,4.6,202.4,-16.8546,-179.889,instantaneous,widespread Pacific native,2,208241.0949,883.1941165,94185.41034
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,anochetus_graeffei_vl,4.333333333,329.5833333,-17.6667,177.553,instantaneous,widespread Pacific native,2,234030.1101,938.8557677,99412.43291
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,anochetus_graeffei_vn,4.1,289.3,-16.5332,179.018,instantaneous,widespread Pacific native,2,216322.1119,771.0631463,88640.80245
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,anoplolepis_gracilipes_kv,4,94,-19.0775,178.121,instantaneous,exotic,3,87447.8255,29177.26113,103042.4154
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,anoplolepis_gracilipes_mc,5,23,-17.3536,178.033,instantaneous,exotic,3,91082.0977,47698.52735,137576.8624
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,anoplolepis_gracilipes_ml,5,69,-18.5781,179.884,instantaneous,exotic,3,14652.4589,30485.75058,163824.3265
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,anoplolepis_gracilipes_vl,3.3,379.444444,-17.6667,177.55,instantaneous,exotic,3,25010.71237,44308.99996,104573.6708
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,anoplolepis_gracilipes_vn,3.8,172.6,-16.5329,179.018,instantaneous,exotic,3,95574.591,50126.61191,315146.0091
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,anoplolepis_gracilipes_ys,3,127.333333,-16.8522,177.469,instantaneous,exotic,3,35302.3611,3286.372928,46214.29066
camponotus_chloroticus,Camponotus.chloroticus_EGP0071D10_Fiji,camponotus_chloroticus_lk,4,100,-18.2208,-178.784,instantaneous,widespread Pacific native,2,458002.9202,531.0584154,88550.592
camponotus_chloroticus,Camponotus.chloroticus_EGP0071D10_Fiji,camponotus_chloroticus_vl,3.625,255.875,-18.1167,178.4,instantaneous,widespread Pacific native,2,401120.005,370.7874011,176971.0423
cardiocondyla_minutior,Cardiocondyla.minutior_EGP0031F09_Fiji,cardiocondyla_minutior_vl,2.888888889,466.5,-17.6673,177.535,instantaneous,exotic,3,433765.8096,5983.27648,56996.09342
cardiocondyla_minutior,Cardiocondyla.minutior_EGP0031F09_Fiji,cardiocondyla_minutior_nr,2,10,-17.292,178.217,instantaneous,exotic,3,462117.6572,2342.68062,414919.6612
cardiocondyla_obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,cardiocondyla_obscurior_vl,3.666666667,532.6666667,-17.6211,177.998,instantaneous,exotic,3,284450.0941,3932.633282,55044.67479
carebara_atoma,Carebara.atoma_EGP0031H09_Fiji,carebara_atoma_kr,4.5,382.5,-17.2947,179.406,instantaneous,widespread Pacific native,2,290301.8176,4451.793501,98020.03447
carebara_atoma,Carebara.atoma_EGP0031H09_Fiji,carebara_atoma_vn,4.2,294.2,-16.5505,179.312,instantaneous,widespread Pacific native,2,347169.4228,1644.418455,147201.9268
colobopsis_bryani,Colobopsis.bryani_clade_EGP0136A07_Fiji,colobopsis_bryani_ga,5,482.3333333,-17.98,179.275,exponential,endemic,1,219552.8389,258260.2532,2582.602532
colobopsis_bryani,Colobopsis.bryani_clade_EGP0136A07_Fiji,colobopsis_bryani_vl,4.5,416,-17.6794,177.542,exponential,endemic,1,227003.7506,267024.769,2670.24769
colobopsis_bryani,Colobopsis.bryani_clade_EGP0136A07_Fiji,colobopsis_bryani_vn,4,270,-16.8067,178.991,exponential,endemic,1,225780.9704,265586.4113,2655.864113
colobopsis_cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,colobopsis_cristata_kv,4,96,-19.0626,178.187,instantaneous,endemic,1,55349.10401,88198.78756,148881.4973
colobopsis_cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,colobopsis_cristata_ta,4.2,315.6,-16.8547,-179.891,instantaneous,endemic,1,68637.3382,59129.27888,185143.492
colobopsis_cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,colobopsis_cristata_vl,4.36,567.28,-17.7439,177.676,instantaneous,endemic,1,589549.4668,68821.40751,55024.92753
colobopsis_cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,colobopsis_cristata_vn,4,87,-16.5316,179.019,instantaneous,endemic,1,222716.5361,129297.3141,46977.72877
colobopsis_dentata_c1,Colobopsis.dentata_c1_EGP0070H11_Fiji,colobopsis_dentata_c1_kv,4,60,-19.0775,178.121,exponential,endemic,1,454165.1513,13896.83911,117190.6545
colobopsis_dentata_c1,Colobopsis.dentata_c1_EGP0070H11_Fiji,colobopsis_dentata_c1_vl,3.58333333,274.818182,-18.076,178.363,exponential,endemic,1,484194.8208,7771.162696,135982.9133
colobopsis_dentata_c4,Colobopsis.dentata_c4_EGP0071C08_Fiji,colobopsis_dentata_c4_lk,4,100,100,-18.2208,exponential,endemic,1,737081.2928,28859.32489,77065.94118
colobopsis_laminata_c3,Colobopsis.laminata_c3_EGP0073G08_Fiji,colobopsis_laminata_c3_kv,4.333333333,297.4444444,-19.0775,178.121,exponential,endemic,1,10316.71534,61648.66483,62120.71407
colobopsis_laminata_c3,Colobopsis.laminata_c3_EGP0073G08_Fiji,colobopsis_laminata_c3_vl2,4.125,800,-17.6667,177.55,exponential,endemic,1,222554.2963,262825.6175,202628.2562
colobopsis_laminata_c3,Colobopsis.laminata_c3_EGP0073G08_Fiji,colobopsis_laminata_c3_vl3,5,630,-17.7478,177.677,instantaneous,endemic,1,956467.548,21157.4621,225565.7351
colobopsis_polynesica_c1,Colobopsis.polynesica_c1_EGP0071G01_Fiji,colobopsis_polynesica_c1_kv_1,4,79.4285,-19.0775,178.121,exponential,endemic,1,13112.03599,78352.41016,1825.611157
colobopsis_polynesica_c1,Colobopsis.polynesica_c1_EGP0071G01_Fiji,colobopsis_polynesica_c1_kv_2,4,103,-19.0599,178.169,exponential,endemic,1,13036.52451,77901.18307,1885.20863
colobopsis_polynesica_c1,Colobopsis.polynesica_c1_EGP0071G01_Fiji,colobopsis_polynesica_c1_vn,4.42258065,523.387097,-16.5928,179.772,exponential,endemic,1,19180.65607,101430.1908,1014.301908
colobopsis_polynesica_c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,colobopsis_polynesica_c3_kv,4.11111111,222.666667,-19.0775,178.121,exponential,endemic,1,42720.95096,51572.47098,515.7247098
colobopsis_polynesica_c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,colobopsis_polynesica_c3_ml,3,132,-18.5675,179.898,exponential,endemic,1,294834.6391,355922.5749,3559.225749
colobopsis_polynesica_c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,colobopsis_polynesica_c3_vn,4.6,690,-16.5928,179.772,exponential,endemic,1,222292.4809,262516.4264,2625.164264
colobopsis_polynesica_c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,colobopsis_polynesica_c4_ga,4.625,422.875,-17.978,179.277,exponential,endemic,1,147341.4087,190574.6232,1905.746232
colobopsis_polynesica_c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,colobopsis_polynesica_c4_kr,3.6,417,-17.2888,179.404,exponential,endemic,1,126647.0086,185488.505,1854.88505
colobopsis_polynesica_c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,colobopsis_polynesica_c4_ta,4.27272727,536.909091,-16.8547,-179.892,instantaneous,endemic,1,1683188.564,25575.50285,82892.76229
colobopsis_polynesica_c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,colobopsis_polynesica_c4_vl,4,372,-17.6667,177.55,exponential,endemic,1,120148.6168,172172.9609,1721.729609
colobopsis_schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,colobopsis_schmeltzi_ga,5,488.4285714,-17.9836,179.277,instantaneous,endemic,1,24224393.2,224583.7643,63512.28855
colobopsis_schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,colobopsis_schmeltzi_vl1,4.366666667,588.4,-18.0553,178.424,instantaneous,endemic,1,12631.06399,75478.30919,15208.8793
colobopsis_schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,colobopsis_schmeltzi_vl2,4.666666667,702.5,-17.75,178.035,instantaneous,endemic,1,12973.35261,77523.6924,11489.01121
colobopsis_schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,colobopsis_schmeltzi_vl3,4.75,494,-17.7447,177.665,instantaneous,endemic,1,187908.7219,196305.8027,2493.083695
colobopsis_schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,colobopsis_schmeltzi_vn,4.2,367.8,-16.6301,179.208,instantaneous,endemic,1,554243.5033,366771.0836,5098.118063
colobopsis_vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,colobopsis_vitiensis_ga,5,507.3333333,-17.9851,179.277,instantaneous,endemic,1,36467.01788,74372.92418,10218.83978
colobopsis_vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,colobopsis_vitiensis_kr,3.8,498,-17.2868,179.404,exponential,endemic,1,973975.8132,130232.7002,28716.31039
colobopsis_vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,colobopsis_vitiensis_ta,4.6,894.2,-16.8409,-179.968,instantaneous,endemic,1,335189.616,11485.80984,113323.5942
colobopsis_vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,colobopsis_vitiensis_vl,4.5,509,-17.7342,178.074,instantaneous,endemic,1,425200.2958,26543.63569,90038.66663
gnamptogenys_aterrima,Gnamptogenys.aterrima_EGP0070D10_Fiji,gnamptogenys_aterrima_ga,4.888888889,505.5555556,-17.9796,179.276,instantaneous,endemic,1,259192.623,144615.6831,20318.50348
gnamptogenys_aterrima,Gnamptogenys.aterrima_EGP0070D10_Fiji,gnamptogenys_aterrima_kv,4.333333333,414.4444444,-17.2903,179.405,instantaneous,endemic,1,308497.8851,117492.8599,35670.83227
gnamptogenys_aterrima,Gnamptogenys.aterrima_EGP0070D10_Fiji,gnamptogenys_aterrima_vl,4.333333333,413.4444444,-18.0558,178.422,instantaneous,endemic,1,205980.5093,106938.2399,22414.25507
hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,hypoponera_eutrepta_ga,4.923076923,473.8461538,-17.98,179.275,instantaneous,endemic,1,24983.66013,76169.69552,10161.03738
hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,hypoponera_eutrepta_kr,4.5,482.5,-17.2903,179.405,instantaneous,endemic,1,11430.13306,68302.01465,10306.77401
hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,hypoponera_eutrepta_kv,5,526.6666,-19.1175,177.992,instantaneous,endemic,1,362437.1678,163332.057,28599.44318
hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,hypoponera_eutrepta_ta,4.714285714,867.7142857,-16.8433,-179.96,instantaneous,endemic,1,766320.1657,28181.61277,158279.2099
hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,hypoponera_eutrepta_vl,4.487804878,547.1219512,-17.6181,178.005,instantaneous,endemic,1,202611.0338,77810.05592,25389.42125
hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,hypoponera_eutrepta_vn,4.5,378.125,-16.5753,179.316,instantaneous,endemic,1,17783.08896,69911.05257,12625.93609
hypoponera_monticola,Hypoponera.monticola_EGP0094C04_Fiji,hypoponera_monticola_ga,4.92307692,484.538462,-17.9795,179.276,instantaneous,endemic,1,16564.72448,58226.07601,15476.491
hypoponera_monticola,Hypoponera.monticola_EGP0094C04_Fiji,hypoponera_monticola_kr,4.33333333,328.333333,-17.2947,179.406,exponential,endemic,1,168051.1996,203693.3849,2036.933849
hypoponera_monticola,Hypoponera.monticola_EGP0094C04_Fiji,hypoponera_monticola_ml,5,337.5,-18.5948,179.9,exponential,endemic,1,1322119.646,9267.740867,278031.2992
hypoponera_monticola,Hypoponera.monticola_EGP0094C04_Fiji,hypoponera_monticola_vl2,4.4,492.6,-17.92694,178.26861,instantaneous,endemic,1,22278.60787,58389.59059,20214.47626
