sp,sp_beast2,best_model,status,status2,t_real,Na,Nc,mean disturbance,mean elev,population decline,# islands,# unique localities
Anochetus.graeffei,Anochetus.graeffei_EGP0091H05_Fiji,instantaneous,widespread Pacific native,2,243127.5224,1209.393534,96816.42215,4.297297297,282.5675676,0,6,36
Anoplolepis.gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,instantaneous,exotic,3,58178.3411,34180.58731,145062.9291,2.943661972,163.1267606,0,11,34
Camponotus.chloroticus,Camponotus.chloroticus_EGP0071D10_Fiji,instantaneous,widespread Pacific native,2,429561.4626,450.9229083,132760.8172,3.772727273,142.1818182,0,8,19
Cardiocondyla.minutior,Cardiocondyla.minutior_EGP0031F09_Fiji,instantaneous,exotic,3,447941.7334,4162.97855,235957.8773,2.923076923,384.7692308,0,4,13
Cardiocondyla.obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,instantaneous,exotic,3,284450.0941,3932.633282,55044.67479,3.866666667,288.2666667,0,7,13
Carebara.atoma,Carebara.atoma_EGP0031H09_Fiji,instantaneous,widespread Pacific native,2,318735.6202,3048.105978,122610.9806,4.533333333,302.4666667,0,7,15
Colobopsis.bryani,Colobopsis.bryani_clade_EGP0136A07_Fiji,exponential,endemic,1,224112.52,263623.8112,2636.238112,4.257142857,340.8857143,1,5,4
Colobopsis.cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,instantaneous,endemic,1,234063.1113,86361.69701,109006.9114,3.9,395.1,0,5,45
Colobopsis.dentata_c1,Colobopsis.dentata_c1_EGP0070H11_Fiji,exponential,endemic,1,469179.9861,10834.0009,126585.7839,3.25,182.19,0,4,5
Colobopsis.dentata_c4,Colobopsis.dentata_c4_EGP0071C08_Fiji,exponential,endemic,1,737081.2928,28859.32489,77065.94118,4,76,0,1,3
Colobopsis.laminata_c3,Colobopsis.laminata_c3_EGP0073G08_Fiji,instantaneous,endemic,1,396446.1865,115210.5815,163483.8151,3.9,429.54,0,4,16
Colobopsis.polynesica_c1,Colobopsis.polynesica_c1_EGP0071G01_Fiji,exponential,endemic,1,15109.73886,85894.59468,1575.040565,4.352941176,334.2941176,1,4,9
Colobopsis.polynesica_c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,exponential,endemic,1,186616.0237,223337.1574,2233.371574,4.275862069,167.6896552,1,7,15
Colobopsis.polynesica_c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,exponential,endemic,1,519331.3995,143452.898,22093.7808,4.333333333,435.9298246,1,6,20
Colobopsis.schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,instantaneous,endemic,1,4998429.968,188132.5304,19560.27616,4.4375,523.34375,1,6,61
Colobopsis.vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,exponential,endemic,1,442708.1857,60658.76748,60574.35275,4.380588235,526.694118,1,6,33
Gnamptogenys.aterrima,Gnamptogenys.aterrima_EGP0070D10_Fiji,instantaneous,endemic,1,257890.3391,123015.5943,26134.53027,4.428571429,412.2380952,1,9,62
Hypoponera.eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,instantaneous,endemic,1,230927.5416,80617.74807,40893.63697,4.617977528,526.988764,1,9,87
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,exponential,endemic,1,1575167.423,140192.9477,75155.09849,4.583333333,480.7833333,1,8,59
