species,tree_id,endemic_class,Disturbance,Elevation,Locality.Code,Disturbance_old_coding
Acropyga.lauta,Acropyga.lauta.EGP0102D05.Fiji,widespread pacific native,0,570,Mt. Vatudiri 570,5
Acropyga.lauta,Acropyga.lauta.EGP0102D05.Fiji,widespread pacific native,0,400,Vusasivo Village 400 a,5
Adelomyrmex.hirsutus,Adelomyrmex.hirsutus.EGP0031F01.Fiji,widespread pacific native,1,300,Nasoqoloa 300,4
Adelomyrmex.hirsutus,Adelomyrmex.hirsutus.EGP0031F01.Fiji,widespread pacific native,1,220,Tavua 220,4
Adelomyrmex.hirsutus,Adelomyrmex.hirsutus.EGP0031F01.Fiji,widespread pacific native,0,75,Naroi 75,5
Adelomyrmex.hirsutus,Adelomyrmex.hirsutus.EGP0031F01.Fiji,widespread pacific native,1,700,Abaca 700,4
Adelomyrmex.hirsutus,Adelomyrmex.hirsutus.EGP0031F01.Fiji,widespread pacific native,0,300,Korobaba 300,5
Adelomyrmex.hirsutus,Adelomyrmex.hirsutus.EGP0031F01.Fiji,widespread pacific native,0,300,Lami 300,5
Adelomyrmex.hirsutus,Adelomyrmex.hirsutus.EGP0031F01.Fiji,widespread pacific native,0,1125,Mt. Batilamu 1125 b,5
Adelomyrmex.hirsutus,Adelomyrmex.hirsutus.EGP0031F01.Fiji,widespread pacific native,3,300,Kasavu 300,2
Anochetus.graeffei,Anochetus.graeffei.EGP0091H05.Fiji,widespread pacific native,2,55,Volivoli 55,3
Anochetus.graeffei,Anochetus.graeffei.EGP0091H05.Fiji,widespread pacific native,1,60,Moanakaka 60,4
Anochetus.graeffei,Anochetus.graeffei.EGP0091H05.Fiji,widespread pacific native,0,75,Naroi 75,5
Anochetus.graeffei,Anochetus.graeffei.EGP0091H05.Fiji,widespread pacific native,0,100,Tavoro Falls 100,5
Anochetus.graeffei,Anochetus.graeffei.EGP0091H05.Fiji,widespread pacific native,1,115,Nabuna 115,4
Anochetus.graeffei,Anochetus.graeffei.EGP0091H05.Fiji,widespread pacific native,0,152,Mt. Wainibeqa 152 c,5
Anochetus.graeffei,Anochetus.graeffei.EGP0091H05.Fiji,widespread pacific native,0,160,Tavoro Falls 160,5
Anochetus.graeffei,Anochetus.graeffei.EGP0091H05.Fiji,widespread pacific native,1,180,Rokosalase 180,4
Anochetus.graeffei,Anochetus.graeffei.EGP0091H05.Fiji,widespread pacific native,0,200,Lami 200,5
Anochetus.graeffei,Anochetus.graeffei.EGP0091H05.Fiji,widespread pacific native,1,200,Nakavu 200,4
