taxon_code,Population,sp_beast2,Disturbance,Elevation,Latitude,Longitude,Endemic class,NCUR_m1,NANC_m1,T_m1,NCUR_m2,NANC_m2,T_m2,NCUR_m3,NANC_m3,T_m3,NCUR_m4,NANC_m4,T_m4,total_loci,mean_missing,Average_Depth
anochetus_graeffei,anochetus_graeffei_kr,Anochetus.graeffei_EGP0091H05_Fiji,4.5,326.6666667,-17.2905,179.404,widespread pacific native,239921759,8967307,846,196402790,8698916,2004,250803952,10375889,2126,162250950,810533,97,4520,0.208849557,154.8
anochetus_graeffei,anochetus_graeffei_kv,Anochetus.graeffei_EGP0091H05_Fiji,4,130,-19.0775,178.121,widespread pacific native,169743662,1729982,170,145688892,8665586,820,181592172,8929761,1430,121424131,8384418,507,9153,0.138497396,108.13
anochetus_graeffei,anochetus_graeffei_ta,Anochetus.graeffei_EGP0091H05_Fiji,4.6,202.4,-16.8546,-179.889,widespread pacific native,151924109,8627618,927,126716449,754778,105,81240582,9245548,673,105882491,10725036,407,4750,0.091,165.66
anochetus_graeffei,anochetus_graeffei_vl,Anochetus.graeffei_EGP0091H05_Fiji,4.333333333,329.5833333,-17.6667,177.553,widespread pacific native,292012230,9837532,1880,248498637,8516230,5063,158983179,7557142,732,209192439,8519814,305,1551,0.137438212,116.26
anochetus_graeffei,anochetus_graeffei_vn,Anochetus.graeffei_EGP0091H05_Fiji,4.1,289.3,-16.5332,179.018,widespread pacific native,153622194,9478159,737,130178379,6268820,625,32208919,9368297,2504,107278016,9511791,819,3372,0.100719158,160.25
anoplolepis_gracilipes,anoplolepis_gracilipes_kv,Anoplolepis.gracilipes_EGP0102E11_Fiji,4,94,-19.0775,178.121,Exotic,430362525,700739,35635,360200038,502710,44942,85576974,5462842,33009,9630924,462590,36559,3705,0.175168691,133.94
anoplolepis_gracilipes,anoplolepis_gracilipes_mc,Anoplolepis.gracilipes_EGP0102E11_Fiji,5,23,-17.3536,178.033,Exotic,507233879,1353703,30996,402921044,445974,31194,92359119,7238550,47618,10274844,736559,14165,9961,0.217573537,99.65
anoplolepis_gracilipes,anoplolepis_gracilipes_ml,Anoplolepis.gracilipes_EGP0102E11_Fiji,5,69,-18.5781,179.884,Exotic,430917846,1511995,23260,373866909,1669989,4555,70399287,4852119,37754,5510446,734876,3293,4607,0.295130599,125.85
anoplolepis_gracilipes,anoplolepis_gracilipes_vl,Anoplolepis.gracilipes_EGP0102E11_Fiji,3.3,379.444444,-17.6667,177.55,Exotic,44093724,47737,107119,56737325,60848,58909,434746,33588,122588,713628,50738,34328,4510,0,80.01
anoplolepis_gracilipes,anoplolepis_gracilipes_vn,Anoplolepis.gracilipes_EGP0102E11_Fiji,3.8,172.6,-16.5329,179.018,Exotic,450290910,575859,7814,415519943,723912,262,53823956,7379168,24189,3654435,410805,12035,4903,0.220732205,92.17
anoplolepis_gracilipes,anoplolepis_gracilipes_ys,Anoplolepis.gracilipes_EGP0102E11_Fiji,3,127.333333,-16.8522,177.469,Exotic,178270700,9205057,1182,151746263,8502443,721,18824793,8598594,2296,124560942,4143277,55,3334,0.118990488,195.78
camponotus_chloroticus,camponotus_chloroticus_lk,Camponotus.chloroticus_EGP0071D10_Fiji,4,100,-18.2208,-178.784,widespread pacific native,171367,871,93937,128523,522,76655,158795,875,79412,207902,717,12124,2736,0,92.41
camponotus_chloroticus,camponotus_chloroticus_vl,Camponotus.chloroticus_EGP0071D10_Fiji,3.625,255.875,-18.1167,178.4,widespread pacific native,584255,759,86424,138892,181,50873,489827,634,92019,120650,163,88451,16267,0,105.15
cardiocondyla_minutior,cardiocondyla_minutior_nr,Cardiocondyla.minutior_EGP0031F09_Fiji,2,10,-17.292,178.217,Exotic,76365,337,14793,9392749,17085,48172,114433,209,23652,128194,1514,20439,6315,0,56.88
cardiocondyla_minutior,cardiocondyla_minutior_vl,Cardiocondyla.minutior_EGP0031F09_Fiji,2.888888889,466.5,-17.6673,177.535,Exotic,13198679,1035995,43210,11171943,1250270,54553,9195570,427948,17276,12978836,1483080,64689,1956,0,52.52
cardiocondyla_obscurior,cardiocondyla_obscurior_vl,Cardiocondyla.obscurior_EGP0031G08_Fiji,3.666666667,532.6666667,-17.6211,177.998,Exotic,304279091,9816557,4668,259868729,8496074,1677,65725448,9525722,7122,211051506,4436429,360,4569,0.205570147,75.76
carebara_atoma,carebara_atoma_kr,Carebara.atoma_EGP0031H09_Fiji,4.5,382.5,-17.2947,179.406,widespread pacific native,262509703,9480249,415,222361584,325622,1237,71226747,9273926,339,185474151,8755066,627,9524,0.247567549,99.07
carebara_atoma,carebara_atoma_vn,Carebara.atoma_EGP0031H09_Fiji,4.2,294.2,-16.5505,179.312,widespread pacific native,247477943,8405150,1596,209117389,9385792,734,43829063,10142703,2749,176040354,4125065,259,8769,0.128840233,106.12
colobopsis_bryani,colobopsis_bryani_ga,Colobopsis.bryani_clade_EGP0136A07_Fiji,5,482.3333333,-17.98,179.275,endemic,9695291,422868558,205,9638105,360720900,158,9680330,4542217311,94,9678822,299139188,171,22086,0,52.76
