taxon_code,sp_beast2,status,status2,disturbance_sp,elevation_sp,number_population,NCUR_m2_heliconius,NANC_m2_heliconius,T_m2_heliconius,T_m2_heliconius_t,NCUR_m1_honeybee,NANC_m1_honeybee,T_m1_honeybee,T_m1_honeybee_t,NCUR_m3_aphids,NANC_m3_aphids,T_m3_aphids,T_m3_aphids_t,NCUR_m4_silkworm,NANC_m4_silkworm,T_m4_silkworm,T_m4_silkworm_t,mean disturbance,mean elevation
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,widespread Pacific native,2,4.297297297,282.5675676,5,169497029.4,6580866,1723.4,10.06609849,201444790.8,7728119.6,912,3.026548608,140965760.8,9095327.4,1493,5.094114507,141205605.4,7590318.4,427,1.458648653,1.702702703,282.5675676
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,exotic,3,2.943661972,163.1267606,6,293498587,1984312.667,23430.5,136.8537313,340194930.7,2232515,34334.33333,113.9413693,53569812.5,5594143.5,44575.66667,152.0921301,25724203.17,1089807.5,16739.16667,57.18164616,3.056338028,163.1267606
camponotus_chloroticus,Camponotus.chloroticus_EGP0071D10_Fiji,widespread Pacific native,2,3.772727273,142.1818182,2,133707.5,351.5,63764,372.4351305,377811,815,90180.5,299.2715644,324311,754.5,85715.5,292.4612003,164276,440,50287.5,171.7840612,2.227272727,142.1818182
cardiocondyla_minutior,Cardiocondyla.minutior_EGP0031F09_Fiji,exotic,3,2.923076923,384.7692308,2,10282346,633677.5,51362.5,299.9999904,6637522,518166,29001.5,96.24391388,4655001.5,214078.5,20464,69.82314754,6553515,742297,42564,145.400284,3.076923077,384.7692308
cardiocondyla_obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,exotic,3,3.866666667,288.2666667,1,259868729,8496074,1677,9.795083649,304279091,9816557,4668,15.49115011,65725448,9525722,7122,24.30025688,211051506,4436429,360,1.22977404,2.133333333,288.2666667
carebara_atoma,Carebara.atoma_EGP0031H09_Fiji,widespread Pacific native,2,4.533333333,302.4666667,2,215739486.5,4855707,985.5,5.756144864,254993823,8942699.5,1005.5,3.336836212,57527905,9708314.5,1544,5.268126456,180757252.5,6440065.5,443,1.513305277,1.466666667,302.4666667
colobopsis_bryani,Colobopsis.bryani_clade_EGP0136A07_Fiji,endemic,1,4.257142857,340.8857143,3,4683854.667,371112937.7,213953,1249.664599,3684404.667,434652305,74275.66667,246.490039,6631479,4656278986,515621,1759.298336,4457098.333,307945229,177804.3333,607.386537,1.742857143,340.8857143
colobopsis_cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,endemic,1,3.9,395.1,4,277588514.8,3686511.75,31366.25,183.2051536,139506476.8,5057945,7191.25,23.86476719,57176870.5,8295647.25,87065,297.0656929,23920484.25,4749850.5,9152.5,31.26529695,2.071428571,395.1
colobopsis_dentata_c1,Colobopsis.dentata_c1_EGP0070H11_Fiji,endemic,1,3.25,182.19,2,111644081.5,4152125.5,23403.5,136.6960287,2624991.5,320383,168391,558.8196783,1256829735,4202118,61746,210.6772903,1873133,201499.5,111353,380.3861908,2.75,182.19
colobopsis_dentata_c4,Colobopsis.dentata_c4_EGP0071C08_Fiji,endemic,1,4,76,1,276998663,462416,36189,211.3740502,3122494,557992,39777,132.0033158,2356038884,9001604,11513,39.28234449,3762887,759626,61120,208.7883037,2,76
colobopsis_laminata_c3,Colobopsis.laminata_c3_EGP0073G08_Fiji,endemic,1,3.9,429.54,3,169978383.3,4824439.667,13257.33333,77.43392304,3985450.333,2019224.667,157425.6667,522.4302986,2351161240,8745379.5,65561.5,223.6957724,3520028.333,439022.3333,83476.33333,285.1584102,2.114754098,429.54
colobopsis_polynesica_c1,Colobopsis.polynesica_c1_EGP0071G01_Fiji,endemic,1,4.352941176,334.2941176,3,915118.6667,288714652,114360.6667,667.9620132,840269.6667,339807365.7,82807.33333,274.8030915,3837987.667,3335073457,187446.3333,639.5667019,564778.3333,240342624,62350.33333,212.9911703,1.647058824,334.2941176
colobopsis_polynesica_c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,endemic,1,4.275862069,167.6896552,3,561518.6667,172859036,371431,2169.467928,286210,209108988.7,182972,607.2079516,1556619.667,1488010154,378497.3333,1291.432523,282843.6667,154376604.7,168376.3333,575.1801213,1.724137931,167.6896552
colobopsis_polynesica_c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,endemic,1,4.333333333,435.9298246,4,1108945.25,217617381,151801.25,886.6463576,417909.25,246161893.8,40530.5,134.5038688,2874632,2627713810,193683.5,660.8479083,852150.25,182736784.5,98762,337.3748437,1.666666667,435.9298246
colobopsis_schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,endemic,1,4.4375,523.34375,5,6158251.2,362004372.6,201480,1176.811839,5929238.4,433818122.4,207041.6,687.0849411,7540629,3367871570,292823.8,999.1145128,4811193.6,321691758.6,186238.8,636.1990041,1.5625,523.34375
colobopsis_vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,endemic,1,4.380588235,526.694118,4,2092304.5,302457542.8,203528,1188.773873,3024784.5,357593447.5,86882.5,288.3268744,5613319.75,3353750918,204769.75,698.6741822,684202.5,254126856.3,87514,298.951237,1.611111111,526.694118
gnamptogenys_aterrima,Gnamptogenys.aterrima_EGP0070D10_Fiji,endemic,1,4.428571429,412.2380952,3,503147.6667,339098755.3,177580.6667,1037.219728,647316.3333,394292088,154779.6667,513.6493253,4046179,3439785144,225315.3333,768.775692,632319.6667,291360170.3,126855,433.3416273,1.571428571,412.2380952
hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,endemic,1,4.617977528,526.988764,6,100264720.5,159828178.2,151192.1667,883.0888012,15740476.67,188048474,143347.1667,475.7096137,16374053,1976773878,157718.5,538.1353643,22416190.83,134962038.7,22443.66667,76.66844064,1.382022472,526.988764
hypoponera_monticola,Hypoponera.monticola_EGP0094C04_Fiji,endemic,1,4.583333333,480.7833333,5,92633794.2,210737805.6,173120.4,1011.168038,13777809,237787254.4,141967.4,471.1307422,8761181.8,2116895809,146968.2,501.4553514,81382242.8,173760831.2,95778,327.1813833,1.416666667,480.7833333
iridomyrmex_anceps,Iridomyrmex.anceps_EGP0068B09_Fiji,widespread Pacific native,2,2.089285714,176.25,1,625701,1389,89037,520.050604,376805,11871,80814,268.1880474,332554,10355,72767,248.2809312,594090,18555,7398,25.27185652,3.910714286,176.25
