sp,sp_beast,pop1 ,pop2,distance,fst,fst_d,same island,endemic1,radiation1,endemic_class
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,TA,VN,28.81,0.012430809,0.000431475,0,2,3,widespread pacific native
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,KR,VN,69.26,0.019025266,0.000274693,0,2,3,widespread pacific native
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,KR,TA,70.88,0.009612152,0.000135612,0,2,3,widespread pacific native
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,KV,VL,167.29,0.030060607,0.000179692,0,2,3,widespread pacific native
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,KR,VL,200.95,0.018379384,9.15E-05,0,2,3,widespread pacific native
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,KR,KV,239.88,0.040814831,0.000170147,0,2,3,widespread pacific native
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,VL,VN,247.87,0.021912746,8.84E-05,0,2,3,widespread pacific native
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,TA,VL,264.26,0.030096072,0.000113888,0,2,3,widespread pacific native
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,KV,VN,308.2,0.059135612,0.000191874,0,2,3,widespread pacific native
anochetus_graeffei,Anochetus.graeffei_EGP0091H05_Fiji,KV,TA,309.37,0.035867804,0.000115938,0,2,3,widespread pacific native
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,MC,YS,81.74435593,0.015027689,0.000183838,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,KV,VL,95.7378231,0.00724887,7.57E-05,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,MC,VL,95.75764508,0.000405854,4.24E-06,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,MC,VN,118.579457,0.00440338,3.71E-05,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,VL,YS,161.9194719,0.008920735,5.51E-05,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,VN,YS,162.2950372,0.012023214,7.41E-05,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,VL,VN,187.5661502,0.033552766,0.000178885,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,KV,MC,191.0331883,0.029383053,0.000153811,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,KV,ML,193.8664257,0.019736286,0.000101804,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,ML,VL,201.5583703,0.026583525,0.00013189,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,ML,VN,217.7401536,0.038712134,0.000177791,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,MC,ML,238.3445232,0.019941999,8.37E-05,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,KV,YS,255.7947168,0.015285308,5.98E-05,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,KV,VN,267.6957629,0.051619956,0.000192831,0,3,4,Exotic
anoplolepis_gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,ML,YS,319.5348331,0.011135123,3.48E-05,0,3,4,Exotic
camponutus_chloroticus,Camponotus.chloroticus_EGP0071D10_Fiji,LK,VL,42.43808173,0.032017917,0.000754462,0,2,3,widespread pacific native
cardiocondyla_minutior,Cardiocondyla.minutior_EGP0031F09_Fiji,VL,YS,54.89105744,0.081309873,0.001481295,0,3,4,Exotic
cardiocondyla_minutior,Cardiocondyla.minutior_EGP0031F09_Fiji,KR,VL,202.7037246,0.081485412,0.000401993,0,3,4,Exotic
cardiocondyla_minutior,Cardiocondyla.minutior_EGP0031F09_Fiji,KR,YS,240.6967535,0.081909873,0.000340303,0,3,4,Exotic
cardiocondyla_obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,MC,VL,20.14642476,0.0117832,0.000584878,0,3,4,Exotic
